cvegeo,avg_schooling_years,pct_homes_internet,pct_homes_car,pct_homes_computer,avg_occupants_per_home
2105300920487,9,18.90,59.84,16.54,4.06
2105300920491,8.56,16.56,43.56,18.10,3.91
2105400010060,7.41,16.08,14.86,12.30,4.75
2105400010075,7.58,16.98,14.62,13.68,4.26
210540001008A,7.4,14.96,14.96,14.57,4.54
2105400010094,9.64,35.37,30.92,31.81,3.82
2105400010107,8.44,32.69,19.04,23.42,4.13
2105400010111,8.33,90.91,36.36,45.45,4.27
2105400020145,7.05,8.55,15.34,5.31,4.81
210540002015A,7.12,6.19,14.75,10.03,4.42
2105400040022,6.44,7.11,8.59,6.67,4.6
2105400040183,9.16,18.75,43.75,43.75,3.69
2105400050126,6.71,7.15,13.26,7.96,4.83
2105400050130,8.26,0.00,41.67,,5
2105500010049,7.11,33.07,33.07,9.45,3.72
2105500010053,7.92,4.71,20.00,12.94,3.23
2105500010068,8.8,30.00,37.39,20.87,3.29
2105500010072,9.17,23.21,28.57,19.05,3.33
2105600010031,6.13,25.93,26.30,6.67,3.1
2105700010039,8.03,20.53,35.10,6.62,4.12
2105700010043,9.31,31.03,37.93,25.00,4.31
2105800010040,7.4,28.11,38.11,17.30,4.63
2105800010055,6.64,28.32,30.28,9.37,4.49
